"sample.rate","channels","bits","samples","length.secs","file.size","file.location","filename","drive.id","device.id","timestamp","n.copies"
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_203534.wav","MMP-POPA25_20180714_203534.wav",22,25,"2018-07-14 20:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_210534.wav","MMP-POPA25_20180714_210534.wav",22,25,"2018-07-14 21:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_213534.wav","MMP-POPA25_20180714_213534.wav",22,25,"2018-07-14 21:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_220534.wav","MMP-POPA25_20180714_220534.wav",22,25,"2018-07-14 22:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_223534.wav","MMP-POPA25_20180714_223534.wav",22,25,"2018-07-14 22:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_230534.wav","MMP-POPA25_20180714_230534.wav",22,25,"2018-07-14 23:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180714_233534.wav","MMP-POPA25_20180714_233534.wav",22,25,"2018-07-14 23:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_000534.wav","MMP-POPA25_20180715_000534.wav",22,25,"2018-07-15 00:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_010534.wav","MMP-POPA25_20180715_010534.wav",22,25,"2018-07-15 01:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_020534.wav","MMP-POPA25_20180715_020534.wav",22,25,"2018-07-15 02:05:34",1
