"samples","sample.rate","length.secs","file.size","file.location","filename","channels","bits","drive.id","device.id","timestamp"
1182464,44100,26.81,4762624,"F://BSC - Work Laptop/1. Maritimes Marsh Monitoring Program/Data from random SD cards/Card 2 - Maps from 2013 etc/Data/MMP-POPA01_20130514_000455.wav","MMP-POPA01_20130514_000455.wav",2,16,"22","01",2013-05-14 00:04:55
251392,44100,5.7,1038336,"F://BSC - Work Laptop/1. Maritimes Marsh Monitoring Program/Data from random SD cards/Card 2 - Maps from 2013 etc/Data/MMP-POPA01_20130514_000550.wav","MMP-POPA01_20130514_000550.wav",2,16,"22","01",2013-05-14 00:05:50
163200,44100,3.7,685568,"F://BSC - Work Laptop/1. Maritimes Marsh Monitoring Program/Data from random SD cards/Card 2 - Maps from 2013 etc/Data/MMP-POPA01_20130514_000611.wav","MMP-POPA01_20130514_000611.wav",2,16,"22","01",2013-05-14 00:06:11
264461,44100,6,2115776,"F://BSC - Work Laptop/1. Maritimes Marsh Monitoring Program/Song Meters/2018/MMP-POPA24_20130630_040000 - clicking.wav","MMP-POPA24_20130630_040000 - clicking.wav",2,32,"22","24",NA
135811,44100,3.08,1086576,"F://BSC - Work Laptop/1. Maritimes Marsh Monitoring Program/Song Meters/2018/MMP-POPA24_20130709_040536 - probable LEBI.wav","MMP-POPA24_20130709_040536 - probable LEBI.wav",2,32,"22","24",NA
40566912,44100,919.88,162300416,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_051214.wav","MMP-POPA01_20180616_051214.wav",2,16,"22","01",2018-06-16 05:12:14
40783744,44100,924.8,163167744,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_053755.wav","MMP-POPA01_20180616_053755.wav",2,16,"22","01",2018-06-16 05:37:55
40866176,44100,926.67,163497472,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_060519.wav","MMP-POPA01_20180616_060519.wav",2,16,"22","01",2018-06-16 06:05:19
40842240,44100,926.13,163401728,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_063239.wav","MMP-POPA01_20180616_063239.wav",2,16,"22","01",2018-06-16 06:32:39
40964864,44100,928.91,163892224,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_072324.wav","MMP-POPA01_20180616_072324.wav",2,16,"22","01",2018-06-16 07:23:24
40645888,44100,921.68,162616320,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_075803.wav","MMP-POPA01_20180616_075803.wav",2,16,"22","01",2018-06-16 07:58:03
41471232,44100,940.39,165917696,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_083557.wav","MMP-POPA01_20180616_083557.wav",2,16,"22","01",2018-06-16 08:35:57
40451072,44100,917.26,161837056,"F://BSC - Work Laptop/MMMP Field Data/2018 Scripts/Paired ARU/recordings/Laura/MMP-POPA01_20180616_091508.wav","MMP-POPA01_20180616_091508.wav",2,16,"22","01",2018-06-16 09:15:08
