"drive.id","file.location","filename","length","type"
"15","F://MMMP2012_BACKUP/MMP/Sounds/nsts_XC55204.wav","nsts_XC55204.wav",96.29,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120613_180000.wav","MMP-POPA01_20120613_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120613_212259.wav","MMP-POPA01_20120613_212259.wav",2223,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120614_040000.wav","MMP-POPA01_20120614_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120614_072259.wav","MMP-POPA01_20120614_072259.wav",9423,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120614_180000.wav","MMP-POPA01_20120614_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120614_212258.wav","MMP-POPA01_20120614_212258.wav",2224,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120615_040000.wav","MMP-POPA01_20120615_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120615_072258.wav","MMP-POPA01_20120615_072258.wav",9424,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120615_180000.wav","MMP-POPA01_20120615_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120615_212258.wav","MMP-POPA01_20120615_212258.wav",2224,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120616_040000.wav","MMP-POPA01_20120616_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120616_072258.wav","MMP-POPA01_20120616_072258.wav",9424,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120616_180000.wav","MMP-POPA01_20120616_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120616_212258.wav","MMP-POPA01_20120616_212258.wav",2224,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120617_040000.wav","MMP-POPA01_20120617_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120617_072258.wav","MMP-POPA01_20120617_072258.wav",9424,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120617_180000.wav","MMP-POPA01_20120617_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120617_212258.wav","MMP-POPA01_20120617_212258.wav",2224,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120618_040000.wav","MMP-POPA01_20120618_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120618_072258.wav","MMP-POPA01_20120618_072258.wav",9424,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120613-20120618/MMP-POPA01_20120618_212300.wav","MMP-POPA01_20120618_212300.wav",2222,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120618_180000.wav","MMP-POPA01_20120618_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120619_040000.wav","MMP-POPA01_20120619_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120619_072259.wav","MMP-POPA01_20120619_072259.wav",9423,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120619_180000.wav","MMP-POPA01_20120619_180000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120619_212258.wav","MMP-POPA01_20120619_212258.wav",2224,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120620_040000.wav","MMP-POPA01_20120620_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120620_072258.wav","MMP-POPA01_20120620_072258.wav",9424,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120620/MMP-POPA01_20120620_180000.wav","MMP-POPA01_20120620_180000.wav",0,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120625/MMP-POPA01_20120620_180000.wav","MMP-POPA01_20120620_180000.wav",0,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120625/MMP-POPA01_20120621_190000.wav","MMP-POPA01_20120621_190000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120625/MMP-POPA01_20120621_222258.wav","MMP-POPA01_20120621_222258.wav",2224,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120625/MMP-POPA01_20120622_040000.wav","MMP-POPA01_20120622_040000.wav",12173,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120625/MMP-POPA01_20120622_072258.wav","MMP-POPA01_20120622_072258.wav",9424,"other"
"15","F://MMMP2012_BACKUP/MMP2012_SONGMETER_HP/POPA-01/20120618-20120625/MMP-POPA01_20120622_190000.wav","MMP-POPA01_20120622_190000.wav",12173,"other"
