"sample.rate","channels","bits","samples","length.secs","file.size","file.location","filename","drive.id","device.id","timestamp"
44100,2,16,536829312,12173,2147350016,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140623/MMP-POPA19_20140623_190000.wav","MMP-POPA19_20140623_190000.wav","14","19",2014-06-23 19:00:00
44100,2,16,137768448,3124,551106560,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140623/MMP-POPA19_20140623_222258.wav","MMP-POPA19_20140623_222258.wav","14","19",2014-06-23 22:22:58
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_000000.wav","MMP-POPA19_20140624_000000.wav","14","19",2014-06-24 00:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_010000.wav","MMP-POPA19_20140624_010000.wav","14","19",2014-06-24 01:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_020000.wav","MMP-POPA19_20140624_020000.wav","14","19",2014-06-24 02:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_030000.wav","MMP-POPA19_20140624_030000.wav","14","19",2014-06-24 03:00:00
44100,2,16,536829312,12173,2147350016,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_040000.wav","MMP-POPA19_20140624_040000.wav","14","19",2014-06-24 04:00:00
44100,2,16,98078464,2224,392346624,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_072258.wav","MMP-POPA19_20140624_072258.wav","14","19",2014-06-24 07:22:58
44100,2,16,536829312,12173,2147350016,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_190000.wav","MMP-POPA19_20140624_190000.wav","14","19",2014-06-24 19:00:00
44100,2,16,137768448,3124,551106560,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140624/MMP-POPA19_20140624_222258.wav","MMP-POPA19_20140624_222258.wav","14","19",2014-06-24 22:22:58
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_000000.wav","MMP-POPA19_20140625_000000.wav","14","19",2014-06-25 00:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_010000.wav","MMP-POPA19_20140625_010000.wav","14","19",2014-06-25 01:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_020000.wav","MMP-POPA19_20140625_020000.wav","14","19",2014-06-25 02:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_030000.wav","MMP-POPA19_20140625_030000.wav","14","19",2014-06-25 03:00:00
44100,2,16,536829312,12173,2147350016,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_040000.wav","MMP-POPA19_20140625_040000.wav","14","19",2014-06-25 04:00:00
44100,2,16,98078464,2224,392346624,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_072258.wav","MMP-POPA19_20140625_072258.wav","14","19",2014-06-25 07:22:58
44100,2,16,536829312,12173,2147350016,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_190000.wav","MMP-POPA19_20140625_190000.wav","14","19",2014-06-25 19:00:00
44100,2,16,137768448,3124,551106560,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140625/MMP-POPA19_20140625_222258.wav","MMP-POPA19_20140625_222258.wav","14","19",2014-06-25 22:22:58
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140626/MMP-POPA19_20140626_000000.wav","MMP-POPA19_20140626_000000.wav","14","19",2014-06-26 00:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140626/MMP-POPA19_20140626_010000.wav","MMP-POPA19_20140626_010000.wav","14","19",2014-06-26 01:00:00
44100,2,16,39690112,900,158793216,"F://MMP_2014/Songmeters/Popa19_BeechLakeR2_20140623-30/20140626/MMP-POPA19_20140626_020000.wav","MMP-POPA19_20140626_020000.wav","14","19",2014-06-26 02:00:00
