"samples","sample.rate","length.secs","file.size","file.location","filename","channels","bits","drive.id","device.id","timestamp"
20176896,44100,457.53,80740352,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RCSNI3Y/MMP-POPA04_20150620_160000.wav","MMP-POPA04_20150620_160000.wav",NA,NA,"10","04",2015-06-20 16:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_070000.wav","MMP-POPA14_20150704_070000.wav",2,16,"10","14",2015-07-04 07:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_080000.wav","MMP-POPA14_20150704_080000.wav",2,16,"10","14",2015-07-04 08:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_090000.wav","MMP-POPA14_20150704_090000.wav",2,16,"10","14",2015-07-04 09:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_100000.wav","MMP-POPA14_20150704_100000.wav",2,16,"10","14",2015-07-04 10:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_110000.wav","MMP-POPA14_20150704_110000.wav",2,16,"10","14",2015-07-04 11:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_120000.wav","MMP-POPA14_20150704_120000.wav",2,16,"10","14",2015-07-04 12:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_130000.wav","MMP-POPA14_20150704_130000.wav",2,16,"10","14",2015-07-04 13:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_140000.wav","MMP-POPA14_20150704_140000.wav",2,16,"10","14",2015-07-04 14:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_150000.wav","MMP-POPA14_20150704_150000.wav",2,16,"10","14",2015-07-04 15:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_160000.wav","MMP-POPA14_20150704_160000.wav",2,16,"10","14",2015-07-04 16:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_170000.wav","MMP-POPA14_20150704_170000.wav",2,16,"10","14",2015-07-04 17:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_180000.wav","MMP-POPA14_20150704_180000.wav",2,16,"10","14",2015-07-04 18:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_190000.wav","MMP-POPA14_20150704_190000.wav",2,16,"10","14",2015-07-04 19:00:00
156114048,44100,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_200000.wav","MMP-POPA14_20150704_200000.wav",2,16,"10","14",2015-07-04 20:00:00
156114048,44100,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_210000.wav","MMP-POPA14_20150704_210000.wav",2,16,"10","14",2015-07-04 21:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_220000.wav","MMP-POPA14_20150704_220000.wav",2,16,"10","14",2015-07-04 22:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150704_230000.wav","MMP-POPA14_20150704_230000.wav",2,16,"10","14",2015-07-04 23:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_000000.wav","MMP-POPA14_20150705_000000.wav",2,16,"10","14",2015-07-05 00:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_010000.wav","MMP-POPA14_20150705_010000.wav",2,16,"10","14",2015-07-05 01:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_020000.wav","MMP-POPA14_20150705_020000.wav",2,16,"10","14",2015-07-05 02:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_030000.wav","MMP-POPA14_20150705_030000.wav",2,16,"10","14",2015-07-05 03:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_040000.wav","MMP-POPA14_20150705_040000.wav",2,16,"10","14",2015-07-05 04:00:00
156114048,44100,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_050000.wav","MMP-POPA14_20150705_050000.wav",2,16,"10","14",2015-07-05 05:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_060000.wav","MMP-POPA14_20150705_060000.wav",2,16,"10","14",2015-07-05 06:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_070000.wav","MMP-POPA14_20150705_070000.wav",2,16,"10","14",2015-07-05 07:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_080000.wav","MMP-POPA14_20150705_080000.wav",2,16,"10","14",2015-07-05 08:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_090000.wav","MMP-POPA14_20150705_090000.wav",2,16,"10","14",2015-07-05 09:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_100000.wav","MMP-POPA14_20150705_100000.wav",2,16,"10","14",2015-07-05 10:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_110000.wav","MMP-POPA14_20150705_110000.wav",2,16,"10","14",2015-07-05 11:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_120000.wav","MMP-POPA14_20150705_120000.wav",2,16,"10","14",2015-07-05 12:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_130000.wav","MMP-POPA14_20150705_130000.wav",2,16,"10","14",2015-07-05 13:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_140000.wav","MMP-POPA14_20150705_140000.wav",2,16,"10","14",2015-07-05 14:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_150000.wav","MMP-POPA14_20150705_150000.wav",2,16,"10","14",2015-07-05 15:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_160000.wav","MMP-POPA14_20150705_160000.wav",2,16,"10","14",2015-07-05 16:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_170000.wav","MMP-POPA14_20150705_170000.wav",2,16,"10","14",2015-07-05 17:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_180000.wav","MMP-POPA14_20150705_180000.wav",2,16,"10","14",2015-07-05 18:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_190000.wav","MMP-POPA14_20150705_190000.wav",2,16,"10","14",2015-07-05 19:00:00
156114048,44100,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_200000.wav","MMP-POPA14_20150705_200000.wav",2,16,"10","14",2015-07-05 20:00:00
156114048,44100,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_210000.wav","MMP-POPA14_20150705_210000.wav",2,16,"10","14",2015-07-05 21:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_220000.wav","MMP-POPA14_20150705_220000.wav",2,16,"10","14",2015-07-05 22:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150705_230000.wav","MMP-POPA14_20150705_230000.wav",2,16,"10","14",2015-07-05 23:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_000000.wav","MMP-POPA14_20150706_000000.wav",2,16,"10","14",2015-07-06 00:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_010000.wav","MMP-POPA14_20150706_010000.wav",2,16,"10","14",2015-07-06 01:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_020000.wav","MMP-POPA14_20150706_020000.wav",2,16,"10","14",2015-07-06 02:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_030000.wav","MMP-POPA14_20150706_030000.wav",2,16,"10","14",2015-07-06 03:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_040000.wav","MMP-POPA14_20150706_040000.wav",2,16,"10","14",2015-07-06 04:00:00
156114048,44100,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_050000.wav","MMP-POPA14_20150706_050000.wav",2,16,"10","14",2015-07-06 05:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_060000.wav","MMP-POPA14_20150706_060000.wav",2,16,"10","14",2015-07-06 06:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_070000.wav","MMP-POPA14_20150706_070000.wav",2,16,"10","14",2015-07-06 07:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_080000.wav","MMP-POPA14_20150706_080000.wav",2,16,"10","14",2015-07-06 08:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_090000.wav","MMP-POPA14_20150706_090000.wav",2,16,"10","14",2015-07-06 09:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_100000.wav","MMP-POPA14_20150706_100000.wav",2,16,"10","14",2015-07-06 10:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_110000.wav","MMP-POPA14_20150706_110000.wav",2,16,"10","14",2015-07-06 11:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_120000.wav","MMP-POPA14_20150706_120000.wav",2,16,"10","14",2015-07-06 12:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_130000.wav","MMP-POPA14_20150706_130000.wav",2,16,"10","14",2015-07-06 13:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_140000.wav","MMP-POPA14_20150706_140000.wav",2,16,"10","14",2015-07-06 14:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_150000.wav","MMP-POPA14_20150706_150000.wav",2,16,"10","14",2015-07-06 15:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_160000.wav","MMP-POPA14_20150706_160000.wav",2,16,"10","14",2015-07-06 16:00:00
39690112,44100,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RQ7FPJY/Card1/MMP-POPA14_20150706_170000.wav","MMP-POPA14_20150706_170000.wav",2,16,"10","14",2015-07-06 17:00:00
