"sample.rate","channels","bits","samples","length.secs","file.size","file.location","filename","drive.id","device.id","timestamp"
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_170000.wav","MMP-POPA16_20160523_170000.wav","8","16",2016-05-23 17:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_180000.wav","MMP-POPA16_20160523_180000.wav","8","16",2016-05-23 18:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_190000.wav","MMP-POPA16_20160523_190000.wav","8","16",2016-05-23 19:00:00
44100,2,16,156114048,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_200000.wav","MMP-POPA16_20160523_200000.wav","8","16",2016-05-23 20:00:00
44100,2,16,156114048,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_210000.wav","MMP-POPA16_20160523_210000.wav","8","16",2016-05-23 21:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_220000.wav","MMP-POPA16_20160523_220000.wav","8","16",2016-05-23 22:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160523_230000.wav","MMP-POPA16_20160523_230000.wav","8","16",2016-05-23 23:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_000000.wav","MMP-POPA16_20160524_000000.wav","8","16",2016-05-24 00:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_010000.wav","MMP-POPA16_20160524_010000.wav","8","16",2016-05-24 01:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_020000.wav","MMP-POPA16_20160524_020000.wav","8","16",2016-05-24 02:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_030000.wav","MMP-POPA16_20160524_030000.wav","8","16",2016-05-24 03:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_040000.wav","MMP-POPA16_20160524_040000.wav","8","16",2016-05-24 04:00:00
44100,2,16,156114048,3540,624488960,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_050000.wav","MMP-POPA16_20160524_050000.wav","8","16",2016-05-24 05:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_060000.wav","MMP-POPA16_20160524_060000.wav","8","16",2016-05-24 06:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_070000.wav","MMP-POPA16_20160524_070000.wav","8","16",2016-05-24 07:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_080000.wav","MMP-POPA16_20160524_080000.wav","8","16",2016-05-24 08:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_090000.wav","MMP-POPA16_20160524_090000.wav","8","16",2016-05-24 09:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_100000.wav","MMP-POPA16_20160524_100000.wav","8","16",2016-05-24 10:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_110000.wav","MMP-POPA16_20160524_110000.wav","8","16",2016-05-24 11:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_120000.wav","MMP-POPA16_20160524_120000.wav","8","16",2016-05-24 12:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_130000.wav","MMP-POPA16_20160524_130000.wav","8","16",2016-05-24 13:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_140000.wav","MMP-POPA16_20160524_140000.wav","8","16",2016-05-24 14:00:00
44100,2,16,39690112,900,158793216,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RJWQIKW/MMP-POPA16_20160524_150000.wav","MMP-POPA16_20160524_150000.wav","8","16",2016-05-24 15:00:00
44100,2,16,1182464,26.81,4762624,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RPHM0C6/Data from SD CARD/Card 2 - Maps from 2013 etc/Data/MMP-POPA01_20130514_000455.wav","MMP-POPA01_20130514_000455.wav","8","01",2013-05-14 00:04:55
44100,2,16,251392,5.7,1038336,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RPHM0C6/Data from SD CARD/Card 2 - Maps from 2013 etc/Data/MMP-POPA01_20130514_000550.wav","MMP-POPA01_20130514_000550.wav","8","01",2013-05-14 00:05:50
44100,2,16,163200,3.7,685568,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RPHM0C6/Data from SD CARD/Card 2 - Maps from 2013 etc/Data/MMP-POPA01_20130514_000611.wav","MMP-POPA01_20130514_000611.wav","8","01",2013-05-14 00:06:11
44100,2,16,536829312,12173,2147350016,"G://$RECYCLE.BIN/S-1-5-21-1287527300-93463349-1530313631-1001/$RPHM0C6/From Nicole/MMP-POPA06_20140520_040000.wav","MMP-POPA06_20140520_040000.wav","8","06",2014-05-20 04:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_080000.wav","MMP-POPA06_20160531_080000.wav","8","06",2016-05-31 08:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_090000.wav","MMP-POPA06_20160531_090000.wav","8","06",2016-05-31 09:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_100000.wav","MMP-POPA06_20160531_100000.wav","8","06",2016-05-31 10:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_110000.wav","MMP-POPA06_20160531_110000.wav","8","06",2016-05-31 11:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_120000.wav","MMP-POPA06_20160531_120000.wav","8","06",2016-05-31 12:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_130000.wav","MMP-POPA06_20160531_130000.wav","8","06",2016-05-31 13:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_140000.wav","MMP-POPA06_20160531_140000.wav","8","06",2016-05-31 14:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_150000.wav","MMP-POPA06_20160531_150000.wav","8","06",2016-05-31 15:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_160000.wav","MMP-POPA06_20160531_160000.wav","8","06",2016-05-31 16:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_170000.wav","MMP-POPA06_20160531_170000.wav","8","06",2016-05-31 17:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_180000.wav","MMP-POPA06_20160531_180000.wav","8","06",2016-05-31 18:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_190000.wav","MMP-POPA06_20160531_190000.wav","8","06",2016-05-31 19:00:00
44100,2,16,156114048,3540,624488960,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_200000.wav","MMP-POPA06_20160531_200000.wav","8","06",2016-05-31 20:00:00
44100,2,16,156114048,3540,624488960,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_210000.wav","MMP-POPA06_20160531_210000.wav","8","06",2016-05-31 21:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_220000.wav","MMP-POPA06_20160531_220000.wav","8","06",2016-05-31 22:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160531_230000.wav","MMP-POPA06_20160531_230000.wav","8","06",2016-05-31 23:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_000000.wav","MMP-POPA06_20160601_000000.wav","8","06",2016-06-01 00:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_010000.wav","MMP-POPA06_20160601_010000.wav","8","06",2016-06-01 01:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_020000.wav","MMP-POPA06_20160601_020000.wav","8","06",2016-06-01 02:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_030000.wav","MMP-POPA06_20160601_030000.wav","8","06",2016-06-01 03:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_040000.wav","MMP-POPA06_20160601_040000.wav","8","06",2016-06-01 04:00:00
44100,2,16,156114048,3540,624488960,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_050000.wav","MMP-POPA06_20160601_050000.wav","8","06",2016-06-01 05:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_060000.wav","MMP-POPA06_20160601_060000.wav","8","06",2016-06-01 06:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_070000.wav","MMP-POPA06_20160601_070000.wav","8","06",2016-06-01 07:00:00
44100,2,16,39690112,900,158793216,"G://MMMP 2016 Songmeter Data - Denise/20160531-20160605 - BD/MMP-POPA06_20160601_080000.wav","MMP-POPA06_20160601_080000.wav","8","06",2016-06-01 08:00:00
