"drive.id","file.location","filename","length","type","device.id","timestamp","n.copies"
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130608_190000.wav","POPA-15_20130608_190000.wav",12173,"other","15",2013-06-08 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130608_222257.wav","POPA-15_20130608_222257.wav",3122,"other","15",2013-06-08 22:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_000000.wav","POPA-15_20130609_000000.wav",900,"other","15",2013-06-09 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_010000.wav","POPA-15_20130609_010000.wav",900,"other","15",2013-06-09 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_020000.wav","POPA-15_20130609_020000.wav",900,"other","15",2013-06-09 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_030000.wav","POPA-15_20130609_030000.wav",900,"other","15",2013-06-09 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_040000.wav","POPA-15_20130609_040000.wav",12173,"other","15",2013-06-09 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_072257.wav","POPA-15_20130609_072257.wav",2222,"other","15",2013-06-09 07:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_190000.wav","POPA-15_20130609_190000.wav",12173,"other","15",2013-06-09 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130609_222257.wav","POPA-15_20130609_222257.wav",3122,"other","15",2013-06-09 22:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_000000.wav","POPA-15_20130610_000000.wav",900,"other","15",2013-06-10 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_010000.wav","POPA-15_20130610_010000.wav",900,"other","15",2013-06-10 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_020000.wav","POPA-15_20130610_020000.wav",900,"other","15",2013-06-10 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_030000.wav","POPA-15_20130610_030000.wav",900,"other","15",2013-06-10 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_040000.wav","POPA-15_20130610_040000.wav",12173,"other","15",2013-06-10 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_072257.wav","POPA-15_20130610_072257.wav",2222,"other","15",2013-06-10 07:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_190000.wav","POPA-15_20130610_190000.wav",12173,"other","15",2013-06-10 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130610_222257.wav","POPA-15_20130610_222257.wav",3122,"other","15",2013-06-10 22:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_000000.wav","POPA-15_20130611_000000.wav",900,"other","15",2013-06-11 00:00:00,1
